﻿Title:,"Chart 11 - HE students by CAH level 1 and sex"
Subtitle:,"Academic years 2019/20 to 2020/21"
Reference ID:,OC051 Chart 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/chart-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/chart-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2022
Filters:,Academic year,2020/21 


"Subject area","Female","Male"
"01 Medicine and dentistry","47,435","29,445"
"02 Subjects allied to medicine","269,305","69,445"
"03 Biological and sport sciences","58,050","59,050"
"04 Psychology","109,505","25,265"
"05 Veterinary sciences","9,430","2,100"
"06 Agriculture, food and related studies","12,070","6,325"
"07 Physical sciences","29,045","39,005"
"09 Mathematical sciences","18,010","30,405"
"10 Engineering and technology","36,875","146,060"
"11 Computing","32,480","120,975"
"13 Architecture, building and planning","23,970","38,195"
"26 Geography, earth and environmental studies (natural sciences)","17,005","15,335"
"15 Social sciences","188,365","93,725"
"16 Law","87,805","50,170"
"17 Business and management","225,915","248,675"
"19 Language and area studies","66,895","25,250"
"20 Historical, philosophical and religious studies","46,890","38,750"
"22 Education and teaching","104,995","30,795"
"23 Combined and general studies","28,265","16,190"
"24 Media, journalism and communications","28,895","18,585"
"25 Design, and creative and performing arts","120,355","68,710"
"26 Geography, earth and environmental studies (social sciences)","7,235","5,070"